0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014.0,7.0,30.0,,,,2.0,,,123.0,,998.0,,,1.2
,7.0,,1.0,,,2.0,,,124.0,,997.4,,,0.5
,,,2.0,,,2.0,,,139.0,,997.6,,,
,,30.0,,,,2.0,,400.0,110.0,,998.0,,,
,7.0,30.0,,54.0,,2.0,,,92.0,,,,,
,,,,97.0,97.0,,17.0,,88.0,,,,1.6,
,7.0,,,,,,,,92.0,,,,,
,,,7.0,,,2.0,,800.0,78.0,,,,2.8,
,,,8.0,114.0,114.0,,,1000.0,79.0,,,,,0.9
,,,,141.0,141.0,,45.0,1400.0,54.0,,,,,1.1
2014.0,,30.0,10.0,,133.0,,44.0,1200.0,70.0,,,,0.0,
,,,,137.0,137.0,,45.0,1200.0,71.0,,1001.1,,,0.0
,7.0,,,,158.0,,,1500.0,67.0,,,,0.0,0.4
,,,13.0,153.0,153.0,,35.0,,65.0,,,,,1.5
,7.0,,14.0,,163.0,,,1600.0,87.0,,,,,0.9
2014.0,7.0,30.0,,,154.0,,,,118.0,,999.6,,,
,7.0,30.0,16.0,141.0,141.0,,,,132.0,,999.1,,,
,7.0,30.0,,,,2.0,,,141.0,,,,,
,7.0,,,,161.0,2.0,,,137.0,,999.2,,,
,,30.0,,,,,39.0,1500.0,123.0,,1000.0,,0.0,0.6
,,,,,,2.0,,,87.0,,,,,
,,,,199.0,199.0,,,,66.0,,,,0.0,1.2
2014.0,,,,,213.0,,65.0,2000.0,39.0,,,,0.0,
2014.0,,,,216.0,216.0,2.0,,1800.0,31.0,,,,0.0,
