0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3.0,3.0,3.0,0.0,250.0,3.0,102.0,3.0,3.0,17.0,1.5,3.0,3.0,3.0,0.8
2013.0,3.0,3.0,1.0,240.0,3.0,91.0,3.0,3.0,3.0,0.7,3.0,-2.7,3.0,1.2
2013.0,3.0,3.0,3.0,238.0,3.0,83.0,3.0,3.0,17.0,1.5,3.0,-2.5,3.0,0.6
2013.0,3.0,3.0,3.0,243.0,3.0,86.0,3.0,3.0,17.0,0.3,3.0,-2.7,3.0,3.0
2013.0,3.0,3.0,4.0,246.0,3.0,57.0,3.0,3.0,17.0,-0.9,3.0,-3.3,3.0,0.5
2013.0,3.0,3.0,5.0,275.0,3.0,3.0,3.0,3.0,17.0,1.6,3.0,-1.5,3.0,3.0
3.0,3.0,3.0,6.0,3.0,3.0,41.0,3.0,3.0,17.0,0.3,3.0,-2.7,3.0,0.4
2013.0,3.0,3.0,7.0,3.0,3.0,46.0,3.0,3.0,17.0,3.0,3.0,3.0,3.0,1.5
2013.0,3.0,3.0,8.0,292.0,3.0,3.0,3.0,3.0,17.0,8.3,3.0,3.0,3.0,0.8
2013.0,3.0,3.0,9.0,251.0,3.0,3.0,3.0,3.0,3.0,10.1,3.0,3.0,3.0,0.6
3.0,3.0,3.0,10.0,228.0,3.0,3.0,3.0,3.0,3.0,12.7,3.0,-1.6,3.0,1.2
2013.0,3.0,3.0,11.0,217.0,3.0,3.0,3.0,3.0,17.0,3.0,3.0,-1.6,3.0,1.7
2013.0,3.0,3.0,12.0,255.0,3.0,3.0,3.0,3.0,17.0,3.0,3.0,-3.1,3.0,3.0
3.0,3.0,3.0,13.0,258.0,3.0,111.0,3.0,3.0,17.0,3.0,3.0,-3.2,3.0,3.0
2013.0,3.0,3.0,14.0,277.0,3.0,102.0,3.0,3.0,39.0,3.0,3.0,-3.2,3.0,3.0
2013.0,3.0,3.0,15.0,282.0,3.0,79.0,3.0,3.0,3.0,3.0,3.0,-1.8,3.0,3.0
2013.0,3.0,3.0,16.0,3.0,3.0,62.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.9
2013.0,3.0,3.0,3.0,216.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.7,3.0,1.4
2013.0,3.0,3.0,3.0,201.0,3.0,76.0,3.0,3.0,3.0,3.0,3.0,-2.5,3.0,1.9
3.0,3.0,3.0,3.0,211.0,3.0,79.0,3.0,3.0,10.0,13.4,3.0,-2.6,3.0,1.5
2013.0,3.0,3.0,3.0,227.0,3.0,99.0,3.0,3.0,3.0,11.8,3.0,-2.1,3.0,1.5
2013.0,3.0,3.0,3.0,282.0,3.0,114.0,3.0,3.0,3.0,9.2,3.0,3.0,3.0,1.4
2013.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.5,3.0,3.0,3.0,1.3
2013.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.6,3.0,3.0,3.0,0.1
