0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-2.7,3.0,7.0,0.0,250.0,1.3,102.0,3.0,0.5,17.0,1.5,-3.3,3.0,243.0,0.8
2013.0,3.0,1.4,1.0,240.0,3.0,91.0,1.4,217.0,3.0,0.7,1.0,-2.7,46.0,1.2
2013.0,3.0,1.4,17.0,238.0,76.0,83.0,79.0,-3.2,17.0,1.5,-1.8,-2.5,10.0,0.6
2013.0,3.0,3.0,3.0,243.0,79.0,86.0,3.0,8.0,17.0,0.3,238.0,-2.7,5.0,1.0
2013.0,3.0,2013.0,4.0,246.0,2013.0,57.0,2013.0,14.0,17.0,-0.9,79.0,-3.3,41.0,0.5
2013.0,3.0,46.0,5.0,275.0,0.3,238.0,57.0,17.0,17.0,1.6,3.0,-1.5,1.2,-2.6
3.0,3.0,216.0,6.0,1.7,255.0,41.0,-2.1,3.0,17.0,0.3,3.0,-2.7,111.0,0.4
2013.0,3.0,-2.1,7.0,2013.0,3.0,46.0,57.0,0.5,17.0,102.0,2013.0,2013.0,0.6,1.5
2013.0,0.1,114.0,8.0,292.0,41.0,17.0,0.6,2013.0,17.0,8.3,79.0,3.0,13.4,0.8
2013.0,3.0,57.0,9.0,251.0,3.0,-2.5,3.0,1.4,-2.1,10.1,1.5,86.0,251.0,0.6
12.0,3.0,3.0,10.0,228.0,99.0,0.7,99.0,39.0,-1.7,12.7,-3.3,-1.6,17.0,1.2
2013.0,3.0,255.0,11.0,217.0,3.0,3.0,2013.0,6.0,17.0,2013.0,1.0,-1.6,-2.5,1.7
2013.0,3.0,1.5,12.0,255.0,1.9,2013.0,17.0,3.0,17.0,5.0,240.0,-3.1,2013.0,0.7
250.0,3.0,1.5,13.0,258.0,-2.7,111.0,86.0,1.5,17.0,211.0,3.0,-3.2,3.0,277.0
2013.0,3.0,201.0,14.0,277.0,114.0,102.0,0.1,2013.0,39.0,0.8,57.0,-3.2,3.0,111.0
2013.0,3.0,4.0,15.0,282.0,3.0,79.0,3.0,2013.0,2013.0,3.0,4.0,-1.8,0.6,250.0
2013.0,3.0,114.0,16.0,3.0,17.0,62.0,1.4,-1.7,102.0,12.7,-1.8,2013.0,5.0,1.9
2013.0,3.0,3.0,238.0,216.0,275.0,282.0,13.4,2013.0,-2.7,15.0,2013.0,-1.7,17.0,1.4
2013.0,3.0,275.0,46.0,201.0,114.0,76.0,10.0,17.0,3.0,4.0,0.7,-2.5,1.9,1.9
3.0,3.0,15.0,2013.0,211.0,3.0,79.0,3.0,102.0,10.0,13.4,2013.0,-2.6,-2.5,1.5
2013.0,3.0,1.5,17.0,227.0,91.0,99.0,-1.6,1.5,16.0,11.8,17.0,-2.1,17.0,1.5
2013.0,3.0,3.0,2013.0,282.0,17.0,114.0,3.0,-2.7,10.0,9.2,2013.0,-1.8,2013.0,1.4
2013.0,3.0,243.0,-2.7,86.0,2013.0,2013.0,3.0,2013.0,0.5,7.5,-1.6,17.0,246.0,1.3
2013.0,3.0,1.7,-1.6,0.8,1.0,8.3,-2.7,1.5,7.0,6.6,-3.2,0.6,2013.0,0.1
