Method,Type,Missing_Count,Missing_Ratio,Total_Cells,Success
Original,None,206,57.22%,360,True
zero,Basic,0,0.00%,360,True
mean,Basic,0,0.00%,360,True
median,Basic,0,0.00%,360,True
mode,Basic,0,0.00%,360,True
random,Basic,0,0.00%,360,True
knn,Basic,0,0.00%,360,True
ffill,Basic,0,0.00%,360,True
bfill,Basic,0,0.00%,360,True
mice,Basic,0,0.00%,360,True
miracle,Advanced,0,0.00%,360,True
saits,Advanced,0,0.00%,360,True
timemixerpp,Advanced,0,0.00%,360,True
tefn,Advanced,0,0.00%,360,True
timesnet,Advanced,0,0.00%,360,True
tsde,Advanced,0,0.00%,360,True
grin,Advanced,0,0.00%,360,True
