year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2014,8,19,0,72.0,123.0,8.0,36.0,1000.0,121.0,24.0,1005.7,19.5,0.0,1.0
2014,8,19,1,71.0,104.0,6.0,39.0,700.0,99.0,21.7,1005.8,20.0,0.0,0.0
2014,8,19,2,73.0,105.0,5.0,38.0,700.0,78.0,20.8,1005.9,20.0,0.0,0.0
2014,8,19,3,83.0,109.0,2.0,35.0,600.0,60.0,20.6,1005.9,20.3,0.0,0.5
2014,8,19,4,90.0,124.0,2.0,45.0,700.0,39.0,20.3,1006.2,20.3,0.0,0.0
2014,8,19,5,110.0,145.0,2.0,68.0,800.0,21.0,20.1,1006.6,20.1,0.0,0.1
2014,8,19,6,125.0,151.0,2.0,105.0,1100.0,2.0,21.2,1006.9,20.5,0.0,0.8
2014,8,19,7,115.0,161.0,2.0,116.0,1300.0,2.0,23.7,1007.1,20.8,0.0,1.7
2014,8,19,8,123.0,177.0,2.0,117.0,1200.0,4.0,26.1,1007.2,20.7,0.0,0.9
2014,8,19,9,149.0,224.0,3.0,91.0,1200.0,38.0,27.8,1006.9,20.6,0.0,0.1
2014,8,19,10,136.0,136.0,2.0,57.0,1000.0,95.0,29.7,1006.2,20.8,0.0,0.7
2014,8,19,11,120.0,136.0,2.0,48.0,1000.0,146.0,31.0,1005.8,20.9,0.0,1.5
2014,8,19,12,118.0,133.0,2.0,53.0,1000.0,183.0,31.9,1005.0,20.2,0.0,2.3
2014,8,19,13,93.0,93.0,3.0,39.0,800.0,220.0,32.8,1004.4,21.0,0.0,2.3
2014,8,19,14,70.0,70.0,5.0,25.0,600.0,215.0,32.6,1003.8,19.5,0.0,1.9
2014,8,19,15,62.0,98.0,5.0,25.0,600.0,210.0,32.1,1003.4,18.7,0.0,2.1
2014,8,19,16,59.0,96.0,5.0,26.0,500.0,197.0,31.7,1003.1,18.7,0.0,3.6
2014,8,19,17,57.0,70.0,6.0,27.0,500.0,180.0,30.3,1003.0,18.1,0.0,2.0
2014,8,19,18,53.0,104.0,5.0,28.0,500.0,184.0,29.5,1003.3,19.2,0.0,2.9
2014,8,19,19,77.0,187.0,3.0,39.0,600.0,193.0,28.4,1003.8,20.4,0.0,1.7
2014,8,19,20,85.0,162.0,3.0,41.0,700.0,185.0,27.8,1004.1,20.1,0.0,1.8
2014,8,19,21,86.0,138.0,3.0,45.0,700.0,146.0,27.3,1004.3,20.1,0.0,1.9
2014,8,19,22,88.0,142.0,3.0,44.0,800.0,136.0,26.5,1004.3,20.6,0.0,1.4
2014,8,19,23,84.0,137.0,5.0,40.0,800.0,128.0,26.1,1004.4,20.9,0.0,1.5
