month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
10,30,0,57.0,84.0,14.0,87.0,12.0,1.0,4.5,10.23,-0.1,0.0,0.4
10,30,1,104.0,84.0,14.0,87.0,17.0,1.0,2.9,10.231,0.9,0.0,0.2
10,30,2,104.0,188.0,18.0,87.0,16.0,1.0,3.0,10.229,1.0,0.0,1.1
10,30,3,94.0,159.0,18.0,80.0,15.0,1.0,3.5,10.227,0.4,0.0,1.0
10,30,4,94.0,129.0,19.0,70.0,13.0,1.0,2.8,10.229,0.2,0.0,0.9
10,30,5,59.0,82.0,13.0,59.0,10.0,1.0,2.6,10.229,-0.5,0.0,0.6
10,30,6,43.0,82.0,14.0,58.0,8.0,1.0,2.0,10.232000000000001,-0.4,0.0,0.6
10,30,7,38.0,41.0,10.0,58.0,6.0,1.0,3.4,10.238999999999999,1.0,0.0,1.3
10,30,8,23.0,42.0,8.0,49.0,5.0,1.0,7.3,10.24,-0.2,0.0,0.9
10,30,9,23.0,48.0,8.0,50.0,6.0,1.0,10.0,10.241,-0.2,0.0,0.8
10,30,10,23.0,46.0,6.0,50.0,4.0,7.0,11.8,10.234,-2.1,0.0,1.3
10,30,11,25.0,42.0,6.0,45.0,4.0,15.0,13.2,10.224,-0.1,0.0,1.4
10,30,12,32.0,42.0,8.0,47.0,5.0,20.0,14.6,10.211,0.8,0.0,1.2
10,30,13,46.0,69.0,11.0,59.0,7.0,21.0,15.3,10.205,1.4,0.0,1.1
10,30,14,66.0,91.0,11.0,75.0,9.0,25.0,15.1,10.201,2.9,0.0,1.7
10,30,15,99.0,141.0,16.0,101.0,11.0,29.0,14.7,10.199,2.9,0.0,2.1
10,30,16,102.0,119.0,24.0,76.0,10.0,57.0,12.8,10.196,3.7,0.0,1.2
10,30,17,102.0,124.0,24.0,80.0,11.0,47.0,9.0,10.199,4.6,0.0,0.7
10,30,18,102.0,155.0,20.0,98.0,13.0,22.0,7.3,10.203,4.9,0.0,0.0
10,30,19,138.0,185.0,16.0,98.0,16.0,1.0,6.3,10.207,4.5,0.0,0.0
10,30,20,161.0,199.0,17.0,125.0,18.0,1.0,5.8,10.212,4.8,0.0,0.0
10,30,21,155.0,200.0,18.0,125.0,16.0,1.0,5.7,10.214,4.3,0.0,0.1
10,30,22,130.0,131.0,18.0,102.0,13.0,1.0,6.0,10.214,3.0,0.0,0.6
10,30,23,139.0,162.0,17.0,102.0,19.0,1.0,5.6,10.213,2.8,0.0,1.1
