model,zero,median,mean,bfill,ffill,knn,mice,idx
0.026790775,27.329445,20.778173,20.3612,35.592983,29.960672,21.147102,26.68231,0
0.041300207,22.740479,23.656818,21.981083,32.42118,31.091637,26.192307,34.653,1
0.03840038,26.90172,19.916683,18.871532,28.373287,30.79069,20.534842,24.8154,2
0.027906798,25.600641,25.896933,24.205551,32.561295,35.287292,24.872059,33.143215,3
0.024797186,26.551456,23.26851,22.23211,32.906467,33.431892,23.961082,27.39466,4
0.04564647,24.445919,24.43431,23.179607,31.458576,28.873823,23.249569,32.222763,5
0.07279793,27.898,21.231113,20.500986,32.769234,28.08766,21.173996,25.599855,6
0.025495898,28.139963,22.152416,22.44272,33.844635,35.002533,23.908894,29.910751,7
0.05623011,24.109911,26.153532,24.359629,27.5921,30.003347,23.346474,49.25304,8
0.038421288,24.12237,20.86524,19.90084,29.887884,28.114826,18.931858,22.814177,9
