Method,Accuracy (mean ± std),Precision (mean ± std),Recall (mean ± std),F1 Score (mean ± std),AUROC (mean ± std)
Scit-Impute,68.01% ± 2.99%,67.17% ± 1.40%,66.49% ± 11.86%,66.19% ± 5.37%,0.7357 ± 0.0343
Zero-Impute,56.76% ± 4.66%,61.27% ± 2.58%,29.80% ± 15.55%,37.55% ± 14.04%,0.6610 ± 0.0223
MICE-Impute,60.28% ± 4.37%,62.54% ± 6.22%,46.34% ± 7.28%,52.70% ± 4.94%,0.6609 ± 0.0609
Random-Impute,52.26% ± 3.32%,64.15% ± 14.20%,3.04% ± 0.23%,5.78% ± 0.37%,0.5212 ± 0.0147
KNN-Impute,67.13% ± 2.21%,64.85% ± 2.51%,69.93% ± 5.79%,67.11% ± 2.36%,0.7189 ± 0.0215
Mean-Impute,55.09% ± 2.98%,41.04% ± 23.72%,42.16% ± 28.17%,40.52% ± 24.42%,0.5792 ± 0.0500
BFill-Impute,65.46% ± 1.04%,66.70% ± 3.37%,57.31% ± 14.32%,60.41% ± 8.30%,0.7039 ± 0.0184
Miracle-Impute,66.83% ± 3.09%,66.78% ± 3.67%,63.11% ± 9.01%,64.38% ± 4.87%,0.7273 ± 0.0237
SAITS-Impute,64.19% ± 4.50%,63.89% ± 5.73%,61.67% ± 13.51%,61.65% ± 7.43%,0.7052 ± 0.0393
TimeMixerPP-Impute,64.58% ± 0.38%,66.37% ± 4.24%,55.53% ± 15.35%,58.89% ± 8.70%,0.7024 ± 0.0264
TEFN-Impute,65.66% ± 5.22%,67.84% ± 8.50%,60.48% ± 13.09%,62.29% ± 7.02%,0.7237 ± 0.0316
TSDE-Impute,52.55% ± 1.39%,55.56% ± 6.83%,32.02% ± 21.71%,34.20% ± 19.02%,0.5909 ± 0.0529
GRIN-Impute,64.58% ± 1.35%,71.21% ± 6.62%,45.69% ± 5.02%,55.23% ± 3.05%,0.7092 ± 0.0181
TimesNet-Impute,63.79% ± 4.31%,68.09% ± 11.70%,59.70% ± 18.25%,60.10% ± 6.75%,0.6868 ± 0.0352
