Method,Seed,Accuracy (mean ± std),Precision (mean ± std),Recall (mean ± std),F1 Score (mean ± std),AUROC (mean ± std)
Scit-Impute,33,69.46% ± 3.38%,71.59% ± 3.15%,81.69% ± 2.74%,76.26% ± 2.27%,0.7445 ± 0.0301
GRIN-Impute,33,65.65% ± 3.08%,81.42% ± 5.69%,56.81% ± 11.42%,65.71% ± 7.31%,0.7457 ± 0.0150
Zero-Impute,33,65.97% ± 4.54%,70.28% ± 7.11%,80.19% ± 13.05%,73.66% ± 2.97%,0.7149 ± 0.0177
Mean-Impute,33,60.52% ± 1.74%,60.64% ± 1.74%,97.63% ± 3.70%,74.76% ± 1.44%,0.6059 ± 0.0803
BFill-Impute,33,64.77% ± 2.35%,66.87% ± 2.69%,82.58% ± 6.08%,73.71% ± 1.90%,0.6944 ± 0.0364
KNN-Impute,33,65.75% ± 6.38%,67.57% ± 6.34%,84.85% ± 5.31%,74.92% ± 3.69%,0.6998 ± 0.0744
MICE-Impute,33,63.14% ± 2.76%,63.79% ± 3.18%,91.31% ± 7.52%,74.78% ± 1.07%,0.6766 ± 0.0295
TimeMixerPP-Impute,33,67.28% ± 2.87%,69.73% ± 4.30%,81.53% ± 3.72%,74.96% ± 1.08%,0.7072 ± 0.0520
SAITS-Impute,33,65.00% ± 1.68%,69.87% ± 1.06%,73.37% ± 4.07%,71.50% ± 1.65%,0.6868 ± 0.0103
TEFN-Impute,33,62.70% ± 4.50%,65.11% ± 4.39%,83.54% ± 9.87%,72.74% ± 3.55%,0.6362 ± 0.0584
TimesNet-Impute,33,68.05% ± 2.50%,71.92% ± 2.55%,76.95% ± 3.10%,74.28% ± 1.74%,0.7222 ± 0.0249
TSDE-Impute,33,62.70% ± 3.76%,62.83% ± 4.15%,95.02% ± 5.36%,75.38% ± 1.39%,0.6493 ± 0.0474
Miracle-Impute,33,65.43% ± 1.66%,70.25% ± 3.83%,75.55% ± 10.38%,72.15% ± 2.55%,0.6815 ± 0.0244
