0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
,,,,,0.5983853,,,0.3659869,,,,0.10893829,,0.37687683,,,-0.18754531,,,-0.48951364,0.14843477,0.007881298,,-0.14998914,0.56636095,0.4126205,0.469564,-0.36718112,,0.04937968,,,,,-0.1833137,0.116534226,0.046878736,,-0.25081125,,,0.32362884,,,,,0.28770828,,0.0655052
,,,-0.0019208082,,,,,-0.014316764,0.3896915,,-0.21063973,,,0.3541766,,,,-0.36790267,,,0.24983726,0.17785712,,-0.47273323,0.26996467,-0.3649156,,-0.22249329,-0.03517072,,,,,,,-0.2728605,-0.39076975,,,-0.060727604,,,,0.026964532,,,,,
,,,,,-0.110186026,,,0.51880753,,,,,,,,,-0.18063739,-0.2873713,,,,-0.08548963,,-0.03939102,,0.50440574,,,,0.23760268,,,,,0.1413808,0.12336903,0.24085502,,,,-0.34307015,-0.61947525,,-0.071795195,,,,,
,,,,,,,,0.64021254,,,,,,,,-0.17134818,-0.24377806,,,,-0.4129464,0.116314806,,0.24966656,,0.0046285074,0.14046182,,,-0.42832482,,,,,0.32486227,0.05968877,-0.14215481,,0.30779028,-0.5973192,,,,,,,,,-0.052649308
,,,,,-0.31691104,,,0.6137261,,,0.011900426,,,0.19597897,,-0.12360711,,,,0.1834652,0.13152832,0.08665074,,0.6123541,,,0.430221,-0.06527069,,0.29798424,,-0.100106135,,,,-0.047983117,,,0.26315856,-0.21627106,,,,0.014293399,,,,,
,,,,,0.2881422,,,0.51256365,-0.24857497,,,-0.16084011,,-0.034525014,,-0.03117113,,,,,-0.4275739,0.26339135,,0.45292243,-0.09054145,,,,,-0.1973077,,,,,0.36191022,-0.011810495,,,-0.03249665,-0.0065574995,,,,,,,,,-0.09011067
,,,,,0.23271812,,,0.16177927,-0.10334927,,-0.21411265,,,-0.10654287,,0.37512317,-0.08945387,,,-0.30920878,,-0.03402931,,0.4150951,,,-0.28596145,,,0.29162967,,,,,,-0.31138647,,,0.068535,-0.2552158,,,,-0.38465777,,,,-0.087788105,
,,,0.557896,0.06257661,,,,-0.3558022,,,-0.12003606,-0.3571237,,,,,-0.43424657,0.026270136,,-0.020206716,,0.086271554,,-0.0014762656,,,,-0.105185375,,,,,,,,-0.35042846,-0.10757531,0.27549338,,,-0.07633164,0.019522479,,,,,,0.24445274,
,,,,0.23862056,0.3184674,,-0.22580968,0.6417319,,,,,,,,,0.26148838,0.4958767,,-0.18191342,-0.10393452,0.07714269,,0.41642612,0.23306325,,0.73924804,,-0.12563947,0.2834786,,,,,,-0.0737494,,,0.12612891,-0.025576727,,,,,,,,,
,,,-0.23029488,,0.25699964,,,0.21460246,,,-1.0973054,,,-0.3987785,,,-0.71636593,-0.014575725,,,0.049202647,0.035852358,,-0.06959385,0.22037861,0.34776688,,,0.46771476,,,0.16239715,,,,0.09946286,,,-0.049023997,0.34641966,,-0.02065426,,0.26208305,,,-0.27499813,-0.08159881,0.25348973
,,,-0.20267709,0.06871077,,,-0.18056431,-0.24841194,,,,0.25787067,,,,,,,,0.4081498,,0.31754178,,-0.30917367,,0.71016526,0.32259682,,0.2923612,0.17736141,,,,,,0.100555055,,0.57064396,,0.28194714,0.19559585,,,,,,-0.1775417,0.009054048,
,,,-0.25703067,0.07129985,,,,-0.49307156,0.0705422,,-0.28363404,-0.26117,,0.35051462,,-0.36402386,0.115541324,,,,,-0.4583439,,-0.035614286,,,,0.057449806,0.52309203,,,,,,,-0.30046698,,0.4335531,,,0.012059589,0.029756023,,,,,-0.22042683,,0.7472461
,,,0.062048744,,,,-0.457449,-0.5993131,0.30787688,,,-0.083025604,,,,0.5234301,,,,0.06810688,-0.011353181,-0.08190412,,0.13250844,,0.1728473,,0.1051585,0.20231745,0.24533634,,0.27808326,,,,-0.09078403,,,,,0.02308103,,,,,,,-0.20910326,0.42388508
,,,-0.6786582,-0.31788158,,,0.020819098,-0.25933424,-0.22525957,,,,,-0.32795173,,-0.16055876,,,,0.18511955,-0.42719558,0.71438795,,-0.46325096,,0.17990273,,,-0.016460542,-0.24826759,,,,,-0.036140922,0.031805206,-0.039932344,,,,0.06359344,,,,,,,0.5418346,-0.2800009
,,,,,,,,0.19839202,,,-0.024612147,0.7532124,,-0.1054902,,,,,,,,-0.09507465,,0.12776287,-0.13786964,,,,,0.06859734,,-0.3869109,,,,0.19616878,,0.21198314,,,-0.23634017,,,,,,,0.23644716,
,,,,-0.058834706,,,,0.015351319,,,-0.18456426,0.21040358,,,,,,-0.17362571,,,,-0.2287505,,-0.076746844,-0.2838466,0.2120692,-0.41719994,0.38571927,0.059038233,,,0.30165577,,,-0.24253763,0.3234916,0.0379274,0.06049808,,,,-0.036291953,,-0.10715757,,,0.11218806,,
