Method,Average_MSE
my_model,0.01203319150954485
initial_process,0.6951877643726766
zero_impu,0.5531375622749328
mean_impu,0.070540671646595
median_impu,0.0825027010589838
mode_impu,0.35631856113672256
random_impu,0.12343409486114978
knn_impu,0.0500444083288312
mice_impu,0.046675823945552114
ffill_impu,0.05548648647964001
bfill_impu,0.04813535748049617
miracle_impu,0.05039146665483713
saits_impu,0.06668328329920768
timemixerpp_impu,0.06253206126391887
tefn_impu,0.1821759410202503
timesnet_impu,0.3057676148414612
tsde_impu,0.05650229644030333
grin_impu,0.04604420654475689
