Method,Average_MSE,Seed
my_model,23.793556690216064,3
initial_process,2402.4504191080728,3
zero_impu,2478.4200236002603,3
mean_impu,232.0360844930013,3
median_impu,217.5461794535319,3
mode_impu,1643.9058176676433,3
random_impu,330.8848190307617,3
knn_impu,,3
mice_impu,234.05012130737305,3
ffill_impu,237.6192766825358,3
bfill_impu,237.06616592407227,3
miracle_impu,232.21453094482422,3
saits_impu,235.35288747151694,3
timemixerpp_impu,232.160036722819,3
tefn_impu,361.61495208740234,3
timesnet_impu,399.03680928548175,3
tsde_impu,232.09575907389322,3
grin_impu,272.2753397623698,3
